@relation pandasdata
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute class{0_0,1_0}
@data
0.010478028808873989,0.0,0.0,0.01328714215478497,0.0,0.09492759734223889,0.0,"1_0"
0.01598713102242952,0.05817977434835369,0.011104328810754965,0.010136605196307992,0.0,0.01448383053756745,0.0,"0_0"
0.14833766360190634,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.012636853839485635,0.06898135479933097,0.0,0.0,0.0,0.0,0.0,"0_0"
0.006117077582425071,0.0,0.0,0.00775703912368464,0.0,0.03325126251784484,0.008814545825249091,"0_0"
0.013501463610753238,0.02456701284126837,0.0,0.0,0.0,0.0,0.0,"0_0"
0.010975585635566894,0.059912916337750206,0.0,0.06959045886965125,0.0,0.0,0.0,"0_0"
0.013247048770577884,0.0,0.09201124649208622,0.0,0.0,0.0,0.0,"0_0"
0.02272947745722608,0.0,0.0,0.014411575096184457,0.0,0.0,0.0,"0_0"
0.015885905043017456,0.0,0.0,0.050362115435592054,0.0,0.0,0.0,"1_0"
0.013673251862665164,0.0,0.03798862582217787,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.04133377292885778,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.04830705492667944,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.07498808286425741,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.016418352756196422,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.05445390811129912,0.0,0.0,0.0,0.16267533231805545,0.0,"0_0"
0.08523425142525123,0.0,0.0,0.0,0.0,0.022062717675105755,0.0,"0_0"
0.0,0.0,0.030787976535545228,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.060823411381920815,0.0,0.028164451288105494,0.0,0.07641140693596433,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0502021763764534,0.0,0.0,"1_0"
0.0,0.0,0.0,0.0,0.08249027108684293,0.0,0.0,"1_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.05257644633716794,"0_0"
0.0,0.0,0.0,0.13478575495118353,0.0,0.0,0.0,"0_0"
0.015917987025012577,0.0,0.0,0.02018552919421625,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.030776812169230314,"0_0"
0.0,0.0,0.0,0.05941643043578634,0.014715736210971964,0.0,0.0,"1_0"
0.023327665012842506,0.0,0.03240582219865767,0.0,0.043959217273334274,0.0,0.03361454378844784,"1_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.026278776938206024,0.0,0.03650538416892001,0.0,0.0,0.0,0.0,"0_0"
0.0070690423352967,0.0,0.009820019659331313,0.008964221431394803,0.013321074687956552,0.0,0.0,"0_0"
0.020783020198774104,0.0,0.0,0.09224199712406991,0.0,0.0,0.029947778405737716,"0_0"
0.0,0.0,0.028154806383708184,0.02570116227229571,0.0,0.0367234662652183,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1_0"
0.06756488404732608,0.0,0.09385832735960478,0.0,0.0,0.0,0.0,"0_0"
0.19203523491300328,0.0,0.026676736291618902,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0_0"
0.0,0.0,0.0,0.019424752142313095,0.0,0.0,0.0,"0_0"
